Date de comptabilisation,Libelle simplifie,Libelle operation,Reference,Informations complementaires,Type operation,Categorie,Sous categorie,Debit,Credit,Date operation,Date de valeur,Pointage operation
05/09/2025,FRAIS BANCAIRES,COMMISSION INTERVENTION,,"CB CARREFOUR FRANC FA -43,10 EUR-",Frais bancaires,Banque et assurances,Frais bancaires,-8,,05/09/2025,05/09/2025,0
05/09/2025,CARREFOUR FRANC,CB CARREFOUR FRANC FACT 040925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-61,87",,04/09/2025,05/09/2025,0
05/09/2025,TCHIP,CB LYRE FACT 040925,,,Carte bancaire,Juridique et administratif,Juridique et administratif - autre,-22,,04/09/2025,05/09/2025,0
05/09/2025,BOUQUINERIEDUSA,CB BOUQUINERIEDUSA FACT 040925,,,Carte bancaire,Shopping et services,Shopping et services - autre,-26,,04/09/2025,05/09/2025,0
05/09/2025,LYCEE PRIVE,CB OGEC STE CROIX FACT 040925,,,Carte bancaire,Education et famille,Soutien scolaire,-25,,04/09/2025,05/09/2025,0
05/09/2025,RETRAIT D'ESPECES,RETRAIT DAB 04-09-14806-093237,,,Retrait d'especes,A categoriser - sortie d'argent,Retrait d'especes - a categoriser,-30,,04/09/2025,05/09/2025,0
05/09/2025,SOSTRENE GRENE,CB SOSTRENE GRENE FACT 030925,,,Carte bancaire,Alimentation,Petit commercant,"-12,08",,03/09/2025,05/09/2025,0
05/09/2025,Google Play App,CB Google Play App FACT 020925,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-4,99",,02/09/2025,05/09/2025,0
04/09/2025,CARREFOUR OR SC,CB CARREFOUR OR SC FACT 030925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-18,92",,03/09/2025,04/09/2025,0
04/09/2025,LIBRAIRIE NOUVELLE D'ORLEANS,CB SNC ORLEANS LIR FACT 030925,,,Carte bancaire,Loisirs et vacances,"Livres, Magazines","-20,45",,03/09/2025,04/09/2025,0
04/09/2025,INTER GREECEFP9,CB INTER GREECEFP9 FACT 030925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-15,35",,03/09/2025,04/09/2025,0
04/09/2025,MOLOTOV,CB MOLOTOV FACT 020925,,,Carte bancaire,Logement - maison,Internet et telephonie,"-10,99",,02/09/2025,04/09/2025,0
03/09/2025,FRAIS BANCAIRES,COM CB INT CLAUDE.AI SUBSC,,,Frais bancaires,Banque et assurances,Frais bancaires,"-1,32",,03/09/2025,03/09/2025,0
03/09/2025,aliexpress,CB aliexpress FACT 010925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-20,8",,01/09/2025,03/09/2025,0
02/09/2025,FRAIS BANCAIRES,"COM CB INT CURSOR, AI POWE",,,Frais bancaires,Banque et assurances,Frais bancaires,"-1,19",,02/09/2025,02/09/2025,0
02/09/2025,PAYPAL,CB PAYPAL ALIPAY FACT 010925,,,Carte bancaire,Shopping et services,Shopping et services - autre,"-101,57",,01/09/2025,02/09/2025,0
02/09/2025,PAYPAL,CB PAYPAL Paiemen FACT 010925,,,Carte bancaire,Shopping et services,Shopping et services - autre,"-8,24",,01/09/2025,02/09/2025,0
02/09/2025,APPLE.COM/BILL,CB APPLE.COM/BILL FACT 310825,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-4,99",,31/08/2025,02/09/2025,0
02/09/2025,CLAUDE.AI SUBSC,CB CLAUDE.AI SUBSC FACT 310825,,,Carte bancaire,Shopping et services,High-Tech/Electromenager,"-21,6",,31/08/2025,02/09/2025,0
01/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2524446IN0232778,,Virement recu,Transaction exclue,Virement interne,,200,01/09/2025,01/09/2025,0
01/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2524446IN0232489,,Virement recu,Transaction exclue,Virement interne,,200,01/09/2025,01/09/2025,0
01/09/2025,SUPER U,CB UEP SUPER U PRU FACT 310825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-63,77",,31/08/2025,01/09/2025,0
01/09/2025,FOURNIL FEUILLETTE,CB FEUILLETTE PRUN FACT 310825,,,Carte bancaire,Alimentation,Restauration rapide,"-26,76",,31/08/2025,01/09/2025,0
01/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2524346IN0137429,,Virement recu,Transaction exclue,Virement interne,,200,31/08/2025,31/08/2025,0
01/09/2025,SELECTION,CB SELECTION FACT 300825,,,Carte bancaire,Loisirs et vacances,"Livres, Magazines","-31,95",,30/08/2025,01/09/2025,0
01/09/2025,SORODIS,CB SORODIS FACT 300825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-46,05",,30/08/2025,01/09/2025,0
01/09/2025,MARIE BLACHERE,CB MARIE BLACHERE FACT 300825,,,Carte bancaire,Alimentation,Alimentation - autre,"-17,9",,30/08/2025,01/09/2025,0
01/09/2025,SORODIS,CB SORODIS FACT 300825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-60,44",,30/08/2025,01/09/2025,0
01/09/2025,PHARMACIE DE LA PAIX,CB PHARMACIE PAIX FACT 300825,,,Carte bancaire,Sante,Pharmacie,"-37,84",,30/08/2025,01/09/2025,0
01/09/2025,CARREFOUR OR SC,CB CARREFOUR OR SC FACT 290825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-21,01",,29/08/2025,01/09/2025,0
01/09/2025,"CURSOR, AI POWE","CB CURSOR, AI POWE FACT 290825",,,Carte bancaire,Shopping et services,High-Tech/Electromenager,"-17,2",,29/08/2025,01/09/2025,0
30/08/2025,Cafeyn,CB Cafeyn FACT 280825,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-11,99",,28/08/2025,30/08/2025,0
29/08/2025,CARREFOUR OR SC,CB CARREFOUR OR SC FACT 280825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-11,95",,28/08/2025,29/08/2025,0
28/08/2025,INTERMARCHE,CB INTERMARCHE FACT 270825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-18,69",,27/08/2025,28/08/2025,0
28/08/2025,CARREFOUR OR SC,CB CARREFOUR OR SC FACT 270825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-20,27",,27/08/2025,28/08/2025,0
28/08/2025,LE FOURNIL DE COLIGNY,CB FOURNIL DE COLI FACT 270825,,,Carte bancaire,Alimentation,Alimentation - autre,-14,,27/08/2025,28/08/2025,0
27/08/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2523946IN0208435,,Virement recu,Transaction exclue,Virement interne,,200,27/08/2025,27/08/2025,0
27/08/2025,INTERMARCHE,CB INTERMARCHE FACT 260825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-5,4",,26/08/2025,27/08/2025,0
26/08/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2523846IN0185020,,Virement recu,Transaction exclue,Virement interne,,10,26/08/2025,26/08/2025,0
26/08/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2523846IN0157379,,Virement,Transaction exclue,Virement interne,-10,,26/08/2025,26/08/2025,0
26/08/2025,FLOA PAY,CB FLOA PAY FACT 250825,,,Carte bancaire,Banque et assurances,Banque et assurance - autre,"-110,32",,25/08/2025,26/08/2025,0
26/08/2025,RELAY,CB TRIB S BOUTIQUE FACT 250825,,,Carte bancaire,Loisirs et vacances,"Livres, Magazines","-2,5",,25/08/2025,26/08/2025,0
26/08/2025,APPLE.COM/BILL,CB APPLE.COM/BILL FACT 240825,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-4,99",,24/08/2025,26/08/2025,0
26/08/2025,PAYPAL,CB PAYPAL GITHUB FACT 230825,,,Carte bancaire,Shopping et services,Shopping et services - autre,-9,,23/08/2025,26/08/2025,0
25/08/2025,MAGASIN U,CB MAGASIN U FACT 220825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-63,88",,22/08/2025,25/08/2025,0
25/08/2025,CARREFOUR OR SC,CB CARREFOUR OR SC FACT 220825,,,Carte bancaire,Alimentation,Hyper/supermarche,"-25,28",,22/08/2025,25/08/2025,0
